ABV,Appellation,Country,Id,Name,Producer,Region,Retail,Upc,Varietal,Vintage,color,image_url,professional_ratings,reference_url,volume_ml
12,PFALZ,Germany,10065790,VON WINNING RIESLING,Von Winning,Pfalz,28.99,747736547842,Riesling,2018,white,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/v3xpcs9ztpu2it0dydjd.jpg","[{""source"": ""Robert Parker's Wine Advocate"", ""score"": 90, ""max_score"": 100, ""note"": ""von Winning's 2018 Riesling Winnings offers a clear, bright and elegant yet somewhat petrol-scented bouquet with stony notes. Very elegant and refined on the palate, this is a medium-dry and very charming Riesling with lush fruit and a stimulatingly salty finish. A very pleasant wine.""}, {""source"": ""James Suckling"", ""score"": 90, ""max_score"": 100, ""note"": ""Impressive notes of lemon and lime peel here. The palate has a smooth, sweetly fruited core with a vibrant and elegant array of fresh citrus to close.""}]",https://www.wine.com/product/von-winning-winnings-riesling-2018/615052,750
,ROERO ARNEIS,Italy,10065811,VIETTI ARNEIS,Vietti,Piedmont,27.99,748789500044,Arneis,2017,white,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/430923fbs.jpg","[{""source"": ""Robert Parker's Wine Advocate"", ""score"": 91, ""max_score"": 100, ""note"": ""As one of the best quality-minded estates in Barolo, Vietti has little claim to winemaking fame in the Roero appellation. Regardless, the 2017 Roero Arneis is one of the most successful interpretations of this white wine on the market today. It falls under that Vietti magic wand. The bouquet is true to the Arneis variety with aromas of bright citrus, white peach, wild sage, ash and natural rubber. The wine's appearance is luminous and bright. Drink this charming and refreshing white wine within the next two years. Rating: 91+""}]",https://www.wine.com/product/vietti-roero-arneis-2017/430923,750
14.4,NAPA VALLEY,United States,10065829,CAYMUS CABERNET SAUVIGNON 375 ML,Caymus,California,59.99,17224510109,Cabernet Sauvignon,2020,red,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/aieysyhe4fzjkeunbkzj.jpg","[{""source"": ""Wilfred Wong of Wine.com"", ""score"": 92, ""max_score"": 100, ""note"": ""COMMENTARY: The 2020 Caymus Vineyards Cabernet Sauvignon is full-framed and lasting on the palate. TASTING NOTES: This wine excels with aromas and flavors of sandalwood, black fruit, and oak. Serve it with an oven-baked eye of the round roast. (Tasted: July 18, 2022, San Francisco, CA)""}, {""source"": ""Wine Spectator"", ""score"": 91, ""max_score"": 100, ""note"": ""A crowd-pleaser, with boysenberry and acai berry fruit flavors streaming through, while a silky but persistent structure carries this through the chocolate-framed finish. Caressing in feel, with a subtle savory echo at the very end. Drink now through 2033. 141,348 cases made.""}]",https://www.wine.com/product/caymus-napa-valley-cabernet-sauvignon-2020/996340,375
14,MUSCADET COTES DE GRANDLIEU,France,10065868,CHATEAU DE LORIERE,Chateau de Pez,Loire Valley,11.99,3591567594141,Melon De Bourgogne,2019,red,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/q30fegndqdq3akduky0y.jpg","[{""source"": ""Wine Enthusiast"", ""score"": 95, ""max_score"": 100, ""note"": ""Spicy and structured, this is a classic Saint-Est\u00e8phe. Big tannins are boldly paired with the potential of the ripe black currant fruits that are juicy and fresh. The two sides of this wine are not yet together but do promise considerable aging. Barrel Sample: 93-95""}, {""source"": ""Robert Parker's Wine Advocate"", ""score"": 94, ""max_score"": 100, ""note"": ""This year's blend is 56% Cabernet Sauvignon, 42% Merlot, 1% Cabernet Franc and 1% Petit Verdot. Deep garnet-purple in color, the 2019 de Pez comes tumbling out of the glass with an astonishingly beautiful perfume of lilacs, black cherries and black raspberries over a core of stewed plums, clove oil, dark chocolate and Sichuan pepper. The medium-bodied palate is jam-packed with energetic black fruits, supported by a firm foundation of ripe, grainy tannins and lovely freshness, finishing long and perfumed. I love where this once-malingering ch\u00e2teau is headed\u2014bravo to winemaker Nicolas Glumineau from Pichon Lalande! Barrel Sample: 92-94+""}, {""source"": ""James Suckling"", ""score"": 93, ""max_score"": 100, ""note"": ""Sweet berries with cedar and sandalwood, as well as flowers, such as lavender. Perfumed. Full-to medium-bodied with very polished and refined tannins that run the length of the wine. Very attractive and balanced.""}, {""source"": ""Decanter"", ""score"": 93, ""max_score"": 100, ""note"": ""Owned by Pichon Comtesse, this is a lovely St Est\u00e8phe with polish and poise. Good depth to the berry fruits, with an appealing unfussy confidence. New cellars this year that allows for more precise reflection of the plots in 1% Petit Verdot completes the blend. Barrel Sample: 93""}, {""source"": ""Wine Spectator"", ""score"": 93, ""max_score"": 100, ""note"": ""Bright and fresh, featuring an upfront display of red and black currant preserve flavors, laced with black tea and backed by a nice iron twinge through the finish. Sneaky long, too. Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot.""}, {""source"": ""Jeb Dunnuck"", ""score"": 93, ""max_score"": 100, ""note"": ""Currants, plums, new leather, and cedar pencil notes all emerge from the 2019 Ch\u00e2teau De Pez, a nicely balanced, medium to full-bodied Saint-Est\u00e8phe that has plenty of classic character as well as class. With ripe, polished tannins and terrific purity, it can be drunk any time over the coming 20-25 years.""}]",https://www.wine.com/product/chateau-de-pez-2019/638305,750
13.5,VERMENTINO DI SARDEGNA,Italy,10065921,Argiolas Costamolino Vermentino,Argiolas,Sardinia,18.99,98709010109,Vermentino,2021,white,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/axuvuloi8nmlpk1slosu.jpg","[{""source"": ""Wine Enthusiast"", ""score"": 90, ""max_score"": 100, ""note"": ""White peach and pink grapefruit soar off the nose of this wine. Almond skin and almond flowers offer alternating savory and floral aromas. The palate tastes like a perfectly balanced breakfast of toast, green juice and half a pink grapefruit with a sprinkle of sugar.""}, {""source"": ""Wine Spectator"", ""score"": 89, ""max_score"": 100, ""note"": ""A tangy white, light- to medium-bodied, with a pleasing plumpness to flavors of poached apricot, raspberry, wild thyme and orange curd. Offers citrus zest and sea salt notes that crackle on the finish.""}]",https://www.wine.com/product/argiolas-costamolino-vermentino-2021/966182,750
13.5,,Italy,10065962,CUSUMANO SHAMARIS GRILLO,Cusumano,Italy,30.99,86891083179,,2016,white,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/wpoycpy9phxbzazepn9d.jpg","[{""source"": ""James Suckling"", ""score"": 92, ""max_score"": 100, ""note"": ""Attractive floral character here with notes of sliced apples, quince, hints of dried herbs and sweet citrus peel. Fresh and bright with a medium body, juicy orchard fruit and hints of fresh herbs. Tangy and a little tannic at the end.""}]",https://www.wine.com/product/cusumano-shamaris-grillo-terre-siciliane-2022/1589192,750
,,France,10066287,VEUVE CLICQUOT BRUT ROSE JACKET,Veuve Clicquot,Champagne,79.99,81753838904,,,rose,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/rdbnp5vale8w0zwxfxks.jpg","[{""source"": ""Wine & Spirits"", ""score"": 93, ""max_score"": 100, ""note"": ""This is the same base wine as Yellow Label, with the addition of 12 percent red wine to boost the color and the wine\u2019s depth of wild raspberry flavor. It\u2019s Burgundian-rich, a pinot noir as a serious Champagne with complexity, muscular structure and vinous length of spicy fruit""}, {""source"": ""James Suckling"", ""score"": 92, ""max_score"": 100, ""note"": ""Very pinot noir, thanks to all the red-berry and spice aromas, with quite a bold flavor profile that also pushes a long way in the red-wine direction, without losing the elegance of good Champagne. It\u2019s the delicate touch of the tannins that makes this balancing act work. Very well-integrated acidity. Drink now.""}, {""source"": ""Decanter"", ""score"": 92, ""max_score"": 100, ""note"": ""Light nose on the entry, then cherry blossom, smoked stone, lemon curd and salted cherry. Focussed and serious, great presence and length. Blend : 52% Pinot Noir, 18% Pinot Meunier, 30% Chardonnay""}, {""source"": ""Wine Spectator"", ""score"": 91, ""max_score"": 100, ""note"": ""A harmonious ros\u00e9, with crunchy acidity well-meshed to the lacy mousse and minerally, smoke- and stone-laced underpinning, forming a fine frame for the flavors of ripe white cherry and pink grapefruit zest, accented by a touch of whole-grain toast.p>""}]",https://www.wine.com/product/veuve-clicquot-brut-rose-with-ice-jacket/820159,750
13.5,TOSCANA,Italy,10066302,LE VOLTE DELL'ORNELLAIA,Ornellaia,Tuscany,39.99,818201021515,Red Blend,2020,red,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/gku7pcfchtgkwjnd2wii.jpg","[{""source"": ""Decanter"", ""score"": 93, ""max_score"": 100, ""note"": ""Bright and young on the nose, smells like freshly-picked red cherries, almost like sweets, blackcurrant and cherry sweets braced by bramble fruits and soft perfume. Softly creamy and chalky on the palate, strawberries and red cherries have a chalky texture and quite a perfume to the flavor profile. There is fruit there but then it's subdued a little by a savory wood aspect, sweet vanilla and spiced clove that edges the palate. Drinking Window 2023 - 2035.""}, {""source"": ""James Suckling"", ""score"": 93, ""max_score"": 100, ""note"": ""Attractive aromas of blue fruit with slate and black-licorice character. It\u2019s full-bodied with juicy fruit and an orange-peel undertone. Wet earth, some fresh sage and rosemary, too. I like the Mediterranean flavors in this vintage.""}, {""source"": ""Wine Enthusiast"", ""score"": 92, ""max_score"": 100, ""note"": ""Arom,as of pencil shavings, tree bark and soil open the nose of this blend of Merlot, Cabernet Sauvignon and Sangiovese, before blackberries, blueberries and wild herbs emerge. More berries and brambles show on the palate, with flavors of wild mint, pepper and dark chocolate. Elegant and satisfying.""}, {""source"": ""Robert Parker's Wine Advocate"", ""score"": 90, ""max_score"": 100, ""note"": ""A blend of Merlot, Sangiovese and Cabernet Sauvignon, the Ornellaia 2020 Le Volte dell'Ornellaia shows medium darkness and texture followed by a very primary and fruit-forward bouquet. There is a generous display of cherry, cassis and wild plum. On second nose, this easy and straightforward Tuscan blend reveals hints of spice, cardamon and polished river stone. In a hot vintage like this, the wine comes together nicely and rather effortlessly.""}, {""source"": ""Jeb Dunnuck"", ""score"": 90, ""max_score"": 100, ""note"": ""The 2020 Le Volte Dell'Ornellaia is a juicy, forward blend of Merlot, Cabernet Sauvignon, and Sangiovese that's aged in a mix of concrete and oak. It's one heck of a delicious bistro wine and is loaded with ripe redcurrants, strawberry, tobacco, and cedary herb aromas and flavors. Medium to full-bodied, this plump, round, mouth-filling beauty is ideal for near-term drinking.""}, {""source"": ""Wine Spectator"", ""score"": 90, ""max_score"": 100, ""note"": ""This balanced red is laced with black cherry, blackberry, violet and spice flavors. Concentrated and juicy, leaving a lining of dusty tannins on the long finish. Merlot, Cabernet Sauvignon and Sangiovese.""}]",https://www.wine.com/product/ornellaia-le-volte-dellornellaia-2020/989507,750
,,Argentina,10066353,COLOME ALTURA MAXIMA MALBEC,Bodega Colome,Salta,149.99,717888999127,,2014,red,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/qrh16n9gcjcndmgytp1u.jpg","[{""source"": ""Wine Spectator"", ""score"": 93, ""max_score"": 100, ""note"": ""Dense, ripe and powerfully fruity, with intense notes of hazelnut and spice to the dark plum, baked cherry and mulled berry flavors. Dark chocolate and espresso details linger on the powerful finish. Drink now through 2024. 500 cases made.""}]",https://www.wine.com/product/bodega-colome-altura-maxima-malbec-2014/410457,750
14.5,BOLGHERI,Italy,10066561,LE SERRE NUOVE DELL' ORNELLAIA,Ornellaia,Tuscany,79.99,818201021355,Red Blend,2019,red,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/nn6q58nwit4drb2xlmil.jpg","[{""source"": ""Robert Parker's Wine Advocate"", ""score"": 94, ""max_score"": 100, ""note"": ""A blend of Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot, the 2019 Bolgheri Rosso Le Serre Nuove dell'Ornellaia shows a greater degree of focus and detail compared to the previous vintage that I tasted at the same time. This wine reveals the sharp contours and etched character of the Cabernet Franc, especially with black licorice and black pepper. The results are linear and pure. Elegant fruit notes of blackberry and dark currant add to the thick layering of the wine.""}, {""source"": ""Wine & Spirits"", ""score"": 94, ""max_score"": 100, ""note"": ""The 2019 Le Serre Nuove\u2019s dark fruit flavors are juicy and vibrant, framed by velvety tannins and enlivened by notes of warm spice. The plum and blackberry flavors maintain freshness and verve after the second day, gaining intensity and depth as the wine reveals layers of fresh tobacco and soft licorice.""}, {""source"": ""Jeb Dunnuck"", ""score"": 92, ""max_score"": 100, ""note"": ""The 2019 Le Serre Nuove Dell'Ornellaia is 54% Merlot, 28% Cabernet Sauvignon, 14% Cabernet Franc, and the rest Petit Verdot. It has more pyrazines that I suspect will evolve into more cedar and herbal notes with bottle age, but it has beautiful darker berry fruits, nicely integrated oak, notes of resinous herbs, coffee, and loamy soil, and terrific balance. The tannins are certainly present, and this is just a young, unevolved yet still beautiful red that's going to benefit from 2-3 years of bottle age and keep for a decade. Rating: 92+""}, {""source"": ""Wine Spectator"", ""score"": 91, ""max_score"": 100, ""note"": ""A well-defined red, with a streak of pure black currant, blackberry, cedar and rosemary. Linear and vibrant, with echoes of fruit and spice on the lingering finish. Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot. Drink now.""}]",https://www.wine.com/product/ornellaia-le-serre-nuove-2019/780367,750
